missing_type,section,practice_path,problem_code,problem_name,official_url,lesson
missing_metadata,Beginner DSA,Practice Basic Math,SNDMAX,Second Max of Three Numbers,https://www.codechef.com/problems/SNDMAX,Basic Math - Free problems
missing_metadata,Beginner DSA,Practice Basic Math,SCALENE,Scalene Triangle,https://www.codechef.com/problems/SCALENE,Basic Math - Free problems
missing_metadata,Beginner DSA,Practice Basic Math,TESTAVG,Test Averages,https://www.codechef.com/problems/TESTAVG,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,SEVENRINGS,7 Rings,https://www.codechef.com/problems/SEVENRINGS,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,MAKEAP,Make AP,https://www.codechef.com/problems/MAKEAP,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,SUMNEQ,Integers that sum to the same value,https://www.codechef.com/problems/SUMNEQ,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,MINNOO,Minimum Number of Ones,https://www.codechef.com/problems/MINNOO,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,NEGPROD,Negative Product,https://www.codechef.com/problems/NEGPROD,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,FLOW016,GCD and LCM,https://www.codechef.com/problems/FLOW016,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,RECTSQ,Farmer And His Plot,https://www.codechef.com/problems/RECTSQ,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,TWOVSTEN,Two vs Ten,https://www.codechef.com/problems/TWOVSTEN,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Basic Math,MODULO3,Divisible by 3,https://www.codechef.com/problems/MODULO3,Basic Math - Premium Problems
missing_metadata,Beginner DSA,Practice Sorting,TSORT,Simple Sorting,https://www.codechef.com/problems/TSORT,Sorting - Free sorting problems
missing_metadata,Beginner DSA,Practice Sorting,SIMPSTAT,Simple Statistics,https://www.codechef.com/problems/SIMPSTAT,Sorting - Free sorting problems
missing_metadata,Beginner DSA,Practice Sorting,MAXDIFF,Maximum Weight Difference,https://www.codechef.com/problems/MAXDIFF,Sorting - Premium sorting problems
missing_metadata,Beginner DSA,Practice Sorting,STICKS,Sticks,https://www.codechef.com/problems/STICKS,Sorting - Premium sorting problems
missing_metadata,Beginner DSA,Practice Sorting,ARRAYREOR,Array Reordering,https://www.codechef.com/problems/ARRAYREOR,Sorting - Premium sorting problems
missing_metadata,Beginner DSA,Practice Sorting,DSCPPAS265,Counting sort,https://www.codechef.com/problems/DSCPPAS265,Sorting - Premium sorting problems
missing_metadata,Beginner DSA,Practice Sorting,BOOKCHEF,ChefWatson uses Social Network,https://www.codechef.com/problems/BOOKCHEF,Sorting - Premium sorting problems
missing_metadata,Data Structures,Practice Linked Lists,PREP55,Remove Duplicates from Sorted List,https://www.codechef.com/problems/PREP55,Linked List - LinkedList
missing_metadata,Data Structures,Practice Linked Lists,CRITLIST,Critical points in a Linked List,https://www.codechef.com/problems/CRITLIST,Linked List - LinkedList
missing_metadata,Data Structures,Practice Linked Lists,PREP58,Cycle in a linked list,https://www.codechef.com/problems/PREP58,Linked List - LinkedList
missing_rating,Data Structures,Practice Linked Lists,LINKLEN,Find the Length of the Linked List,https://www.codechef.com/problems/LINKLEN,Linked List - LinkedList
missing_metadata,Data Structures,Practice Linked Lists,LINKLEN,Find the Length of the Linked List,https://www.codechef.com/problems/LINKLEN,Linked List - LinkedList
missing_metadata,Data Structures,Practice Linked Lists,LLMID,Find Middle Element of Linked List,https://www.codechef.com/problems/LLMID,Linked List - LinkedList
missing_rating,Data Structures,Practice Linked Lists,SEARCHLL,Remove Nodes with a Given Key,https://www.codechef.com/problems/SEARCHLL,Linked List - LinkedList
missing_metadata,Data Structures,Practice Linked Lists,SEARCHLL,Remove Nodes with a Given Key,https://www.codechef.com/problems/SEARCHLL,Linked List - LinkedList
missing_rating,Data Structures,Practice Linked Lists,LLCYCLE,Detect Start of Cycle in Linked List,https://www.codechef.com/problems/LLCYCLE,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,REVDBL,Reverse a Doubly Linked List,https://www.codechef.com/problems/REVDBL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,REVDBL,Reverse a Doubly Linked List,https://www.codechef.com/problems/REVDBL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,LINKLP,Count loop length in Linked List,https://www.codechef.com/problems/LINKLP,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,INSDELDLL,Insert and Delete in Doubly Linked List,https://www.codechef.com/problems/INSDELDLL,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,PALINLIST,Check if Linked List is Palindrome,https://www.codechef.com/problems/PALINLIST,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,SEGEO,Separate Even and Odd values in a linked list,https://www.codechef.com/problems/SEGEO,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,DSCPPAS273,Find Intersection of two linked lists,https://www.codechef.com/problems/DSCPPAS273,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,ROTLIST,Rotate the List,https://www.codechef.com/problems/ROTLIST,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,RTLL,Reverse a Linked List,https://www.codechef.com/problems/RTLL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,REVSEG,Reverse the Segment,https://www.codechef.com/problems/REVSEG,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,SORTLL012,"Sort a Linked List of 0s, 1s, and 2s",https://www.codechef.com/problems/SORTLL012,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,SORTLL012,"Sort a Linked List of 0s, 1s, and 2s",https://www.codechef.com/problems/SORTLL012,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,NSELL,Find Next Smaller value in Linked List,https://www.codechef.com/problems/NSELL,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,DELMIDLL,Delete the Middle Node of a Linked List,https://www.codechef.com/problems/DELMIDLL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,STRANGELIST,Flatten a Linked List,https://www.codechef.com/problems/STRANGELIST,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,ADDONELL,Linked List Increment,https://www.codechef.com/problems/ADDONELL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,ADDONELL,Linked List Increment,https://www.codechef.com/problems/ADDONELL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,KGRPREV,Reverse m size groups,https://www.codechef.com/problems/KGRPREV,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,ADDTWOLL,Add Two Numbers (Linked List),https://www.codechef.com/problems/ADDTWOLL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,SRTLL,Sort a linked list,https://www.codechef.com/problems/SRTLL,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,DELDOUBLY,Delete All Occurrences of a Key in a Doubly Linked,https://www.codechef.com/problems/DELDOUBLY,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,DELDOUBLY,Delete All Occurrences of a Key in a Doubly Linked,https://www.codechef.com/problems/DELDOUBLY,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,PAIRSUMDLL,Find Pairs with Given Sum in Doubly Linked List,https://www.codechef.com/problems/PAIRSUMDLL,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,PAIRSUMDLL,Find Pairs with Given Sum in Doubly Linked List,https://www.codechef.com/problems/PAIRSUMDLL,Linked List - Additional practice
missing_rating,Data Structures,Practice Linked Lists,LLCOPY,Copy List with Random Pointer,https://www.codechef.com/problems/LLCOPY,Linked List - Additional practice
missing_metadata,Data Structures,Practice Linked Lists,LLCOPY,Copy List with Random Pointer,https://www.codechef.com/problems/LLCOPY,Linked List - Additional practice
missing_rating,Data Structures,Practice Stacks and Queues,BBXJG01,Chef Builds Stack,https://www.codechef.com/problems/BBXJG01,Stack and Queue - Stacks and queues
missing_rating,Data Structures,Practice Stacks and Queues,PPMUH01,Chef Builds Queue Using Stacks,https://www.codechef.com/problems/PPMUH01,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,PPMUH01,Chef Builds Queue Using Stacks,https://www.codechef.com/problems/PPMUH01,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,PREP59,Valid Parenthesis,https://www.codechef.com/problems/PREP59,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,NEC,Necklace,https://www.codechef.com/problems/NEC,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,STONE_PILE,Stone Pile,https://www.codechef.com/problems/STONE_PILE,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,DSCPPAS269,Mountain Peak,https://www.codechef.com/problems/DSCPPAS269,Stack and Queue - Stacks and queues
missing_rating,Data Structures,Practice Stacks and Queues,DRKTZ01,Chef Solves Asteroid Collision,https://www.codechef.com/problems/DRKTZ01,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,DRKTZ01,Chef Solves Asteroid Collision,https://www.codechef.com/problems/DRKTZ01,Stack and Queue - Stacks and queues
missing_metadata,Data Structures,Practice Stacks and Queues,PREP21,Evaluate Expression,https://www.codechef.com/problems/PREP21,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,STKSORT,Stack Sort,https://www.codechef.com/problems/STKSORT,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,LEJQI01,Chef Builds Stack,https://www.codechef.com/problems/LEJQI01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,LEJQI01,Chef Builds Stack,https://www.codechef.com/problems/LEJQI01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,PREP60,Previous smaller element,https://www.codechef.com/problems/PREP60,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,HSUON01,Chef Finds Next Greater Element,https://www.codechef.com/problems/HSUON01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,HSUON01,Chef Finds Next Greater Element,https://www.codechef.com/problems/HSUON01,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,NFXON01,Chef Circular Search,https://www.codechef.com/problems/NFXON01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,NFXON01,Chef Circular Search,https://www.codechef.com/problems/NFXON01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,SUSSTR,Suspense String,https://www.codechef.com/problems/SUSSTR,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,SPLITPAL,Palindrome by Splitting,https://www.codechef.com/problems/SPLITPAL,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,PREP23,Sliding Window Maximum,https://www.codechef.com/problems/PREP23,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,JQJTY01,Chef Calculates Subarray Minimums,https://www.codechef.com/problems/JQJTY01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,JQJTY01,Chef Calculates Subarray Minimums,https://www.codechef.com/problems/JQJTY01,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,IEIJT01,Chef Solves LRU Cache,https://www.codechef.com/problems/IEIJT01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,IEIJT01,Chef Solves LRU Cache,https://www.codechef.com/problems/IEIJT01,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,SDSTRING,Self-Destructing Strings,https://www.codechef.com/problems/SDSTRING,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,MXWATR,Maximum water in a section,https://www.codechef.com/problems/MXWATR,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,MAXREC,Maximum Area,https://www.codechef.com/problems/MAXREC,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,Practice Stacks and Queues,DSCPPAS272,Remove k digits,https://www.codechef.com/problems/DSCPPAS272,Stack and Queue - Stacks and queues additional practice
missing_metadata,Data Structures,Practice Stacks and Queues,DSCPPAS272,Remove k digits,https://www.codechef.com/problems/DSCPPAS272,Stack and Queue - Stacks and queues additional practice
missing_rating,Data Structures,2D Array / Matrices,MATDEF,Basic Concepts,https://www.codechef.com/problems/MATDEF,What is Matrix - Introduction
missing_metadata,Data Structures,2D Array / Matrices,MATDEF,Basic Concepts,https://www.codechef.com/problems/MATDEF,What is Matrix - Introduction
missing_rating,Data Structures,2D Array / Matrices,MATTYPES,Matrix Types and Applications,https://www.codechef.com/problems/MATTYPES,What is Matrix - Introduction
missing_metadata,Data Structures,2D Array / Matrices,MATTYPES,Matrix Types and Applications,https://www.codechef.com/problems/MATTYPES,What is Matrix - Introduction
missing_rating,Data Structures,2D Array / Matrices,MATREP,Matrix Representation,https://www.codechef.com/problems/MATREP,What is Matrix - Introduction
missing_metadata,Data Structures,2D Array / Matrices,MATREP,Matrix Representation,https://www.codechef.com/problems/MATREP,What is Matrix - Introduction
missing_rating,Data Structures,2D Array / Matrices,MATMCQ1,Matrix Types,https://www.codechef.com/problems/MATMCQ1,What is Matrix - Introduction
missing_metadata,Data Structures,2D Array / Matrices,MATMCQ1,Matrix Types,https://www.codechef.com/problems/MATMCQ1,What is Matrix - Introduction
missing_rating,Data Structures,2D Array / Matrices,MATADD,Add Two Matrices,https://www.codechef.com/problems/MATADD,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATADD,Add Two Matrices,https://www.codechef.com/problems/MATADD,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATZIGZAG,Zig-zag traversal,https://www.codechef.com/problems/MATZIGZAG,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATZIGZAG,Zig-zag traversal,https://www.codechef.com/problems/MATZIGZAG,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATTREVERSE,Upside Down Matrix,https://www.codechef.com/problems/MATTREVERSE,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATTREVERSE,Upside Down Matrix,https://www.codechef.com/problems/MATTREVERSE,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATDIAGSUM,Sum of Diagonals,https://www.codechef.com/problems/MATDIAGSUM,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATDIAGSUM,Sum of Diagonals,https://www.codechef.com/problems/MATDIAGSUM,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATNEGCOUNT,Count Negative Numbers,https://www.codechef.com/problems/MATNEGCOUNT,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATNEGCOUNT,Count Negative Numbers,https://www.codechef.com/problems/MATNEGCOUNT,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,DSCPPAS263,Valid Matrix Sum,https://www.codechef.com/problems/DSCPPAS263,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,DSCPPAS263,Valid Matrix Sum,https://www.codechef.com/problems/DSCPPAS263,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMULTIPLIC,Brute Force- Multiplication of Two Matrices,https://www.codechef.com/problems/MATMULTIPLIC,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMULTIPLIC,Brute Force- Multiplication of Two Matrices,https://www.codechef.com/problems/MATMULTIPLIC,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATSORTDIAG,Sort Matrix Diagonally,https://www.codechef.com/problems/MATSORTDIAG,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATSORTDIAG,Sort Matrix Diagonally,https://www.codechef.com/problems/MATSORTDIAG,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATSETZERO,Set Matrix Zeroes,https://www.codechef.com/problems/MATSETZERO,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATSETZERO,Set Matrix Zeroes,https://www.codechef.com/problems/MATSETZERO,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATROTATE,Matrix Rotations,https://www.codechef.com/problems/MATROTATE,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATROTATE,Matrix Rotations,https://www.codechef.com/problems/MATROTATE,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMAXROW,Row With Maximum Ones,https://www.codechef.com/problems/MATMAXROW,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMAXROW,Row With Maximum Ones,https://www.codechef.com/problems/MATMAXROW,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATEQRC,Equal Rows and Columns,https://www.codechef.com/problems/MATEQRC,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATEQRC,Equal Rows and Columns,https://www.codechef.com/problems/MATEQRC,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMINPATH,Path With Minimum Sum,https://www.codechef.com/problems/MATMINPATH,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMINPATH,Path With Minimum Sum,https://www.codechef.com/problems/MATMINPATH,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMAXSQ,Maximal square of all ones,https://www.codechef.com/problems/MATMAXSQ,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMAXSQ,Maximal square of all ones,https://www.codechef.com/problems/MATMAXSQ,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATSPIRAL,Print Matrix In Spiral Fashion,https://www.codechef.com/problems/MATSPIRAL,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATSPIRAL,Print Matrix In Spiral Fashion,https://www.codechef.com/problems/MATSPIRAL,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMAXISLAND,Maximum Area Island,https://www.codechef.com/problems/MATMAXISLAND,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMAXISLAND,Maximum Area Island,https://www.codechef.com/problems/MATMAXISLAND,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATROTAPPLE,Rotting Apples,https://www.codechef.com/problems/MATROTAPPLE,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATSEARCH,Search In Matrix,https://www.codechef.com/problems/MATSEARCH,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATSEARCH,Search In Matrix,https://www.codechef.com/problems/MATSEARCH,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATNEARESTO,Distance to Nearest 0,https://www.codechef.com/problems/MATNEARESTO,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATNEARESTO,Distance to Nearest 0,https://www.codechef.com/problems/MATNEARESTO,Practice - Matrix Problems
missing_rating,Data Structures,2D Array / Matrices,MATMEDIAN,Median in Matrix,https://www.codechef.com/problems/MATMEDIAN,Practice - Matrix Problems
missing_metadata,Data Structures,2D Array / Matrices,MATMEDIAN,Median in Matrix,https://www.codechef.com/problems/MATMEDIAN,Practice - Matrix Problems
missing_metadata,Data Structures,Heaps,HEAPEDU0,Representation of a Heap,https://www.codechef.com/problems/HEAPEDU0,Heap - Heaps
missing_metadata,Data Structures,Heaps,HEAPEDU1,Insertion in a Heap,https://www.codechef.com/problems/HEAPEDU1,Heap - Heaps
missing_metadata,Data Structures,Heaps,HEAPEDU2,Deletion in a Heap,https://www.codechef.com/problems/HEAPEDU2,Heap - Heaps
missing_metadata,Data Structures,Heaps,HEAPEDU3,Insertion and deletion together in a Heap,https://www.codechef.com/problems/HEAPEDU3,Heap - Heaps
missing_metadata,Data Structures,Heaps,HEAPEDU4,Heap sort,https://www.codechef.com/problems/HEAPEDU4,Heap - Heaps
missing_metadata,Data Structures,Heaps,TSORT,Simple Sorting,https://www.codechef.com/problems/TSORT,Heap - Heaps
missing_metadata,Data Structures,Heaps,TSTROBOT,Testing Robot,https://www.codechef.com/problems/TSTROBOT,Heap - Heaps
missing_metadata,Data Structures,Heaps,RRCOPY,Copy-Paste,https://www.codechef.com/problems/RRCOPY,Heap - Heaps
missing_rating,Data Structures,Heaps,MINTOMAXHEAP,Convert min Heap to max Heap,https://www.codechef.com/problems/MINTOMAXHEAP,Heap - Heaps
missing_metadata,Data Structures,Heaps,MINTOMAXHEAP,Convert min Heap to max Heap,https://www.codechef.com/problems/MINTOMAXHEAP,Heap - Heaps
missing_rating,Data Structures,Heaps,MERGEKSORTED,Merge K sorted lists,https://www.codechef.com/problems/MERGEKSORTED,Heap - Heaps
missing_metadata,Data Structures,Heaps,MERGEKSORTED,Merge K sorted lists,https://www.codechef.com/problems/MERGEKSORTED,Heap - Heaps
missing_metadata,Data Structures,Heaps,IPCTRAIN,IPC Trainers,https://www.codechef.com/problems/IPCTRAIN,Heap - Heaps additional practice
missing_rating,Data Structures,Heaps,WTYDU01,Chef Finds KthLargest Element,https://www.codechef.com/problems/WTYDU01,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,WTYDU01,Chef Finds KthLargest Element,https://www.codechef.com/problems/WTYDU01,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,AIRTRAV,Chef Airlines,https://www.codechef.com/problems/AIRTRAV,Heap - Heaps additional practice
missing_rating,Data Structures,Heaps,CONSECARDS,Consecutive Card Grouping,https://www.codechef.com/problems/CONSECARDS,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,CONSECARDS,Consecutive Card Grouping,https://www.codechef.com/problems/CONSECARDS,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,RKS,Rooks,https://www.codechef.com/problems/RKS,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,TOURMAP,Sridhar Likes Travelling,https://www.codechef.com/problems/TOURMAP,Heap - Heaps additional practice
missing_metadata,Data Structures,Heaps,INC_HEIGHTS,Parallel World,https://www.codechef.com/problems/INC_HEIGHTS,Heap - Heaps additional practice
missing_rating,Data Structures,Heaps,HRYQX01,Chef Builds Twitter,https://www.codechef.com/problems/HRYQX01,Heap - Heaps additional practice
