Section,Practice Path,Description,Lesson,Problem Order,Problem Name,Problem Code,Difficulty Rating,Difficulty Label,Official URL,Estimated Time,Tags,Companies,Certificate,Status
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,14,Take discount or Not,DISCOUNTT,700,Easy,https://www.codechef.com/problems/DISCOUNTT,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,15,Running Comparison,RUNCOMPARE,899,Easy,https://www.codechef.com/problems/RUNCOMPARE,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,16,Sum of Smaller Elements,SMLSUM,,Medium,https://www.codechef.com/problems/SMLSUM,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,17,Workers,CHEFWORK,1146,Easy,https://www.codechef.com/problems/CHEFWORK,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,18,Bomb the base,BOMBTHEBASE,982,Easy,https://www.codechef.com/problems/BOMBTHEBASE,,"Algorithms, Greedy",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,19,Kitchen Timetable,KTTABLE,997,Easy,https://www.codechef.com/problems/KTTABLE,,"Basic Programming Concepts, Conditional Statements, Loops",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,20,Cops and the Thief Devu,COPS,1242,Easy,https://www.codechef.com/problems/COPS,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,21,Find the peak elements in an array,PEAKINARRAY,950,Easy,https://www.codechef.com/problems/PEAKINARRAY,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,22,Count of Maximum,MAXCOUNT,1180,Easy,https://www.codechef.com/problems/MAXCOUNT,,"easy, feb12, nikhil_adm",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,23,Candies,CNDY,1018,Easy,https://www.codechef.com/problems/CNDY,,"Basic Programming Concepts, Loops",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,24,Missing number in permutation,MISSINPERM,,Easy,https://www.codechef.com/problems/MISSINPERM,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,25,Single number in multiple numbers,SINGLENUM,,Medium,https://www.codechef.com/problems/SINGLENUM,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Additional practice,26,Array - Pascals or Khayyams triangle,PREP01,,Medium,https://www.codechef.com/problems/PREP01,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Prefix sums,27,Creating Prefix Array,PREFPRO1,,Easy,https://www.codechef.com/problems/PREFPRO1,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Prefix sums,28,Optimization Using Prefix Array,PREFPRO2,,Medium,https://www.codechef.com/problems/PREFPRO2,,,,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Prefix sums,29,Counting Pretty Numbers,NUM239,873,Easy,https://www.codechef.com/problems/NUM239,,"Algorithms, Brute Force, Prefix Sum, Simple Algos",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Prefix sums,30,Little Chef and Sums,CHEFSUM,1252,Easy,https://www.codechef.com/problems/CHEFSUM,,"Algorithms, Prefix Sum, Simple Algos, Suffix Sum",,No,Unattempted
Beginner DSA,Practice Arrays,Solve Arrays coding problems to start learning data structures and algorithms.,Arrays - Prefix sums,31,Suffix Arrays,PREFPRO5,1200,Easy,https://www.codechef.com/problems/PREFPRO5,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,1,Fitness,FIT,258,Easy,https://www.codechef.com/problems/FIT,,"Basic Math, Basic Programming Concepts, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,2,Second Max of Three Numbers,SNDMAX,300,Easy,https://www.codechef.com/problems/SNDMAX,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,3,Chef and Chocolates,CCHOCOLATES,405,Easy,https://www.codechef.com/problems/CCHOCOLATES,,"Basic Math, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,4,Find Remainder,FLOW002,421,Easy,https://www.codechef.com/problems/FLOW002,,"Algorithms, Brute Force, Mathematics, Modular Arithmetic",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,5,Candy Store,CANDYSTORE,429,Easy,https://www.codechef.com/problems/CANDYSTORE,,Mathematics,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,6,Scalene Triangle,SCALENE,430,Easy,https://www.codechef.com/problems/SCALENE,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,7,Sum of Digits,FLOW006,455,Easy,https://www.codechef.com/problems/FLOW006,,"Algorithms, Basic Math, Implementation, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Free problems,8,Favourite Numbers,FAVOURITENUM,477,Easy,https://www.codechef.com/problems/FAVOURITENUM,,"Basic Math, Basic Programming Concepts, Conditional Statements, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,9,Test Averages,TESTAVG,558,Easy,https://www.codechef.com/problems/TESTAVG,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,10,7 Rings,SEVENRINGS,568,Easy,https://www.codechef.com/problems/SEVENRINGS,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,11,Make AP,MAKEAP,577,Easy,https://www.codechef.com/problems/MAKEAP,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,12,Integers that sum to the same value,SUMNEQ,592,Easy,https://www.codechef.com/problems/SUMNEQ,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,13,Minimum Number of Ones,MINNOO,604,Easy,https://www.codechef.com/problems/MINNOO,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,14,Negative Product,NEGPROD,630,Easy,https://www.codechef.com/problems/NEGPROD,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,15,GCD and LCM,FLOW016,635,Easy,https://www.codechef.com/problems/FLOW016,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,16,Make A and B equal,EQUALISE,851,Easy,https://www.codechef.com/problems/EQUALISE,,"Binary, Mathematics, Number System",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,17,Construct N,CONN,860,Easy,https://www.codechef.com/problems/CONN,,"Basic Math, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,18,Alternate Additions,ALTERADD,863,Easy,https://www.codechef.com/problems/ALTERADD,,"Basic Math, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,19,Farmer And His Plot,RECTSQ,936,Easy,https://www.codechef.com/problems/RECTSQ,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,20,Two vs Ten,TWOVSTEN,936,Easy,https://www.codechef.com/problems/TWOVSTEN,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,21,Puppy and Sum,PPSUM,961,Easy,https://www.codechef.com/problems/PPSUM,,"Algorithms, Basic Math, Basic Programming Concepts, Implementation, Loops, Mathematics",,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,22,Divisible by 3,MODULO3,978,Easy,https://www.codechef.com/problems/MODULO3,,,,No,Unattempted
Beginner DSA,Practice Basic Math,"Basic Math includes problems on topics like arithmetic, sequences, and counting, which are fundamental to proper understanding of algorithmic logic.",Basic Math - Premium Problems,23,Balls and Boxes,BALLBOX,994,Easy,https://www.codechef.com/problems/BALLBOX,,"Basic Math, Mathematics",,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Free sorting problems,1,Simple Sorting,TSORT,667,Easy,https://www.codechef.com/problems/TSORT,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Free sorting problems,2,Simple Statistics,SIMPSTAT,1222,Easy,https://www.codechef.com/problems/SIMPSTAT,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Free sorting problems,3,Racing Horses,HORSES,1231,Easy,https://www.codechef.com/problems/HORSES,,"Algorithms, Brute Force, Sorting",,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Free sorting problems,4,Reduce to Single Element Array,DSCPPAS266,1150,Easy,https://www.codechef.com/problems/DSCPPAS266,,Sorting,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,5,Maximum Weight Difference,MAXDIFF,1308,Easy,https://www.codechef.com/problems/MAXDIFF,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,6,Andrew and the Meatballs,AMMEAT,1275,Easy,https://www.codechef.com/problems/AMMEAT,,"1D Arrays, Algorithms, Arrays, Constructive, Data Structures, Sorting, ad-hoc",,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,7,Chef and easy problem,CHEFA,1408,Medium,https://www.codechef.com/problems/CHEFA,,"admin, cakewalk, ltime16, sorting",,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,8,Sticks,STICKS,1261,Easy,https://www.codechef.com/problems/STICKS,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,9,Array Reordering,ARRAYREOR,1250,Easy,https://www.codechef.com/problems/ARRAYREOR,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,10,Counting sort,DSCPPAS265,1650,Medium,https://www.codechef.com/problems/DSCPPAS265,,,,No,Unattempted
Beginner DSA,Practice Sorting,Practice problems which require you to use sorting algorithms to solve the task at hand. These questions help you understand the different patters of sorting problems and how to identify them.,Sorting - Premium sorting problems,11,ChefWatson uses Social Network,BOOKCHEF,1610,Medium,https://www.codechef.com/problems/BOOKCHEF,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,1,Remove Duplicates from Sorted List,PREP55,900,Easy,https://www.codechef.com/problems/PREP55,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,2,Critical points in a Linked List,CRITLIST,1000,Easy,https://www.codechef.com/problems/CRITLIST,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,3,Cycle in a linked list,PREP58,1100,Easy,https://www.codechef.com/problems/PREP58,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,4,Find the Length of the Linked List,LINKLEN,,Easy,https://www.codechef.com/problems/LINKLEN,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,5,Find Middle Element of Linked List,LLMID,1200,Easy,https://www.codechef.com/problems/LLMID,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - LinkedList,6,Remove Nodes with a Given Key,SEARCHLL,,Medium,https://www.codechef.com/problems/SEARCHLL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,7,Detect Start of Cycle in Linked List,LLCYCLE,,Hard,https://www.codechef.com/problems/LLCYCLE,,mayank_pardhi,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,8,Reverse a Doubly Linked List,REVDBL,,Medium,https://www.codechef.com/problems/REVDBL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,9,Count loop length in Linked List,LINKLP,1300,Easy,https://www.codechef.com/problems/LINKLP,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,10,Insert and Delete in Doubly Linked List,INSDELDLL,1300,Easy,https://www.codechef.com/problems/INSDELDLL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,11,Check if Linked List is Palindrome,PALINLIST,,Hard,https://www.codechef.com/problems/PALINLIST,,mayank_pardhi,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,12,Separate Even and Odd values in a linked list,SEGEO,1300,Easy,https://www.codechef.com/problems/SEGEO,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,13,Find Intersection of two linked lists,DSCPPAS273,1300,Easy,https://www.codechef.com/problems/DSCPPAS273,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,14,Rotate the List,ROTLIST,1300,Easy,https://www.codechef.com/problems/ROTLIST,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,15,Reverse a Linked List,RTLL,1400,Medium,https://www.codechef.com/problems/RTLL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,16,Reverse the Segment,REVSEG,1500,Medium,https://www.codechef.com/problems/REVSEG,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,17,"Sort a Linked List of 0s, 1s, and 2s",SORTLL012,,Medium,https://www.codechef.com/problems/SORTLL012,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,18,Find Next Smaller value in Linked List,NSELL,1600,Medium,https://www.codechef.com/problems/NSELL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,19,Delete the Middle Node of a Linked List,DELMIDLL,,Medium,https://www.codechef.com/problems/DELMIDLL,,mayank_pardhi,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,20,Flatten a Linked List,STRANGELIST,1600,Medium,https://www.codechef.com/problems/STRANGELIST,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,21,Linked List Increment,ADDONELL,,Medium,https://www.codechef.com/problems/ADDONELL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,22,Reverse m size groups,KGRPREV,1600,Medium,https://www.codechef.com/problems/KGRPREV,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,23,Add Two Numbers (Linked List),ADDTWOLL,,Medium,https://www.codechef.com/problems/ADDTWOLL,,mayank_pardhi,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,24,Sort a linked list,SRTLL,1800,Medium,https://www.codechef.com/problems/SRTLL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,25,Delete All Occurrences of a Key in a Doubly Linked,DELDOUBLY,,Medium,https://www.codechef.com/problems/DELDOUBLY,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,26,Find Pairs with Given Sum in Doubly Linked List,PAIRSUMDLL,,Medium,https://www.codechef.com/problems/PAIRSUMDLL,,,,No,Unattempted
Data Structures,Practice Linked Lists,These linked list coding questions range from easy to hard difficulty and will prepare you to tackle any linked list question in future.,Linked List - Additional practice,27,Copy List with Random Pointer,LLCOPY,,Medium,https://www.codechef.com/problems/LLCOPY,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,1,Chef Builds Stack,BBXJG01,,Medium,https://www.codechef.com/problems/BBXJG01,,nonameetcetc,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,2,Chef Builds Queue Using Stacks,PPMUH01,,Medium,https://www.codechef.com/problems/PPMUH01,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,3,Valid Parenthesis,PREP59,1100,Easy,https://www.codechef.com/problems/PREP59,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,4,Necklace,NEC,800,Easy,https://www.codechef.com/problems/NEC,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,5,Stone Pile,STONE_PILE,1200,Easy,https://www.codechef.com/problems/STONE_PILE,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,6,Mountain Peak,DSCPPAS269,1000,Easy,https://www.codechef.com/problems/DSCPPAS269,,,,No,Unattempted
Data Structures,Practice Stacks and Queues,Practice intermediate level problems on Stacks and Queues,Stack and Queue - Stacks and queues,7,Transform the Expression,ONP,1300,Easy,https://www.codechef.com/problems/ONP,,"Data Structures, Stacks",,No,Unattempted
